Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,extract_links_cnn,177,0,6000,6258.717229180796,4812.501993001206,11244.968458000585,22219.0,1.9799772854307356,0.0,6000,6200,6400,6500,7100,7800,11000,11000,11000,11000,11000
GET,extract_links_gov_ia,188,0,1400,1438.8412572446005,493.9005129999714,2866.3273689999187,26872.0,2.103026721248465,0.0,1500,1500,1600,1600,1700,1900,2200,2400,2900,2900,2900
GET,extract_links_gov_noticias,186,0,1600,1569.79617767212,618.3056570007466,2297.259530998417,35210.0,2.0806540965543325,0.0,1600,1700,1700,1800,1900,2000,2100,2200,2300,2300,2300
GET,extract_links_michael_jackson,179,0,5500,5477.900103888284,2979.3157080002857,7605.834489999324,163599.0,2.002349910124868,0.0,5500,5700,5800,5800,6200,6600,6800,7200,7600,7600,7600
GET,extract_links_mozilla_css,183,0,2800,2804.7577943989036,1377.3088390007615,5280.5489279999165,112270.0,2.0470951595131335,0.0,2800,3000,3100,3100,3200,3300,3600,4100,5300,5300,5300
GET,extract_links_nextjs_docs,184,0,3500,3432.7341282879574,2027.093844000774,5543.328179999662,30370.0,2.0582814718602,0.0,3500,3600,3700,3700,3900,4000,4800,5100,5500,5500,5500
GET,extract_links_taylor_swift,177,0,7100,7098.794746807939,4325.247248001688,11044.168783000714,200007.0,1.9799772854307356,0.0,7100,7200,7300,7500,7800,8300,9400,10000,11000,11000,11000
GET,extract_links_unifor_cc,176,0,7500,7523.912629812575,5698.556192000979,14792.560497000522,61919.0,1.9687909730836692,0.0,7500,7600,7800,7900,8200,8500,9000,11000,15000,15000,15000
GET,extract_links_unifor_medicina,171,0,9900,9936.72860089482,8580.275197000446,12121.570835000966,108570.0,1.912859411348338,0.0,9900,10000,10000,10000,11000,11000,12000,12000,12000,12000,12000
GET,extract_links_uol,185,0,3300,2965.6426613406393,801.812522999171,4233.880935000343,41845.0,2.069467784207266,0.0,3300,3400,3500,3500,3600,3700,3800,4200,4200,4200,4200
,Aggregated,1806,0,3800,4775.323834818967,493.9005129999714,14792.560497000522,79489.06312292359,20.202480098801743,0.0,3800,6000,7000,7300,8900,9900,10000,11000,12000,15000,15000
