Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,extract_links_cnn,44,0,30000,28523.283450931765,11355.308901000171,45035.14305899989,22155.909090909092,0.492550847179379,0.0,30000,31000,36000,37000,42000,44000,45000,45000,45000,45000,45000
GET,extract_links_gov_ia,49,0,18000,13504.452607326597,663.121407998915,28057.53073300002,26871.0,0.5485225343588539,0.0,18000,18000,19000,22000,26000,27000,28000,28000,28000,28000,28000
GET,extract_links_gov_noticias,49,0,17000,14169.734388836832,734.3353329997626,29507.582174999698,35209.0,0.5485225343588539,0.0,17000,19000,20000,23000,26000,27000,30000,30000,30000,30000,30000
GET,extract_links_michael_jackson,43,0,29000,29005.52026518601,12229.402895000021,47343.19519499877,191183.0,0.48135650974348404,0.0,29000,32000,37000,40000,42000,44000,47000,47000,47000,47000,47000
GET,extract_links_mozilla_css,46,0,21000,18547.534681195622,4151.778299999933,35120.39861700032,112273.0,0.514939522051169,0.0,21000,23000,24000,27000,32000,33000,35000,35000,35000,35000,35000
GET,extract_links_nextjs_docs,47,0,22000,19318.04855838295,3897.5442060000205,36117.55041200013,30373.0,0.5261338594870639,0.0,22000,23000,27000,28000,33000,35000,36000,36000,36000,36000,36000
GET,extract_links_taylor_swift,41,0,33000,35771.42718251229,24574.285430999225,49789.52477799976,218060.0,0.45896783487169407,0.0,33000,40000,41000,45000,47000,48000,50000,50000,50000,50000,50000
GET,extract_links_unifor_cc,42,0,35000,36838.052922381044,28556.27395100055,47667.33483900134,62558.0,0.47016217230758905,0.0,37000,39000,42000,42000,44000,47000,48000,48000,48000,48000,48000
GET,extract_links_unifor_medicina,39,0,46000,45207.5675324359,35598.93001199998,53446.035024000594,108779.0,0.43657915999990415,0.0,46000,48000,50000,51000,51000,53000,53000,53000,53000,53000,53000
GET,extract_links_uol,47,0,22000,18830.30829889368,2110.172020000391,35540.847333000784,43502.40425531915,0.5261338594870639,0.0,22000,24000,28000,28000,35000,35000,36000,36000,36000,36000,36000
,Aggregated,447,0,26000,25237.98265027072,663.121407998915,53446.035024000594,82068.51901565996,5.003868833845055,0.0,26000,31000,35000,37000,44000,47000,50000,51000,53000,53000,53000
