Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,extract_links_cnn,227,0,4,49.91039786791229,1.5699340001447126,2093.4055229990918,22216.022026431718,2.5301992457313918,0.0,4,5,6,6,6,9,1900,2100,2100,2100,2100
GET,extract_links_gov_ia,226,0,4,18.99477981855732,1.733037999656517,1037.3945249993994,26871.022123893807,2.519052993547553,0.0,4,5,6,6,7,8,450,490,1000,1000,1000
GET,extract_links_gov_noticias,226,0,4,28.579099238912633,1.789456999176764,1918.6303879996558,35209.0221238938,2.519052993547553,0.0,4,5,6,6,7,10,450,1000,1900,1900,1900
GET,extract_links_michael_jackson,227,0,7,29.97496355502908,2.98274200031301,1277.2801329992944,163598.02202643172,2.5301992457313918,0.0,7,8,8,9,10,15,840,1000,1300,1300,1300
GET,extract_links_mozilla_css,226,0,5,46.64656801775239,2.332623000256717,2081.2711870003113,112269.02212389381,2.519052993547553,0.0,5,7,7,7,9,10,1500,1900,2100,2100,2100
GET,extract_links_nextjs_docs,226,0,4,17.32625510182105,1.5918319986667484,661.963062999348,30369.022123893807,2.519052993547553,0.0,4,5,6,6,7,7,520,550,660,660,660
GET,extract_links_taylor_swift,227,0,6,41.448968563884385,3.4630579993972788,1754.9677130009513,200006.02202643172,2.5301992457313918,0.0,6,8,8,9,10,11,1400,1500,1800,1800,1800
GET,extract_links_unifor_cc,226,0,5,57.72661949111481,2.065781000055722,2808.502739000687,61918.0221238938,2.519052993547553,0.0,5,6,6,7,7,9,2200,2300,2800,2800,2800
GET,extract_links_unifor_medicina,226,0,5,67.1312682344951,2.421917999527068,2828.573482000138,108569.02654867257,2.519052993547553,0.0,5,6,7,8,9,11,2500,2600,2800,2800,2800
GET,extract_links_uol,227,0,4,12.76684495589691,1.8775829994410742,418.6886260013125,41921.02202643172,2.5301992457313918,0.0,4,6,6,6,7,8,270,370,420,420,420
,Aggregated,2264,0,5,37.04434806978696,1.5699340001447126,2828.573482000138,80341.69081272084,25.235114944210885,0.0,5,6,7,7,9,10,450,1500,2700,2800,2800
