Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,extract_links_cnn,438,0,4,108.09550517811019,1.5199000008578878,4211.302802001228,22235.027397260274,4.880950940801918,0.0,4,5,5,6,7,66,3000,4000,4200,4200,4200
GET,extract_links_gov_ia,438,0,3,29.100397152964867,1.5803389997017803,1090.0714639992657,26871.02511415525,4.880950940801918,0.0,3,5,5,6,7,74,730,870,1100,1100,1100
GET,extract_links_gov_noticias,436,0,4,26.96642965821169,1.6595340002822923,1190.5890020007064,35209.02064220184,4.858663493583644,0.0,4,5,5,6,7,15,710,880,1200,1200,1200
GET,extract_links_michael_jackson,438,0,6,83.95806669400642,2.8374089997669216,4037.2956579994934,163598.02511415526,4.880950940801918,0.0,6,7,8,8,11,29,2300,3000,4000,4000,4000
GET,extract_links_mozilla_css,436,0,5,43.72354388995335,2.2446389994001947,1826.8275009995705,112269.02064220184,4.858663493583644,0.0,5,6,7,7,9,24,1300,1600,1800,1800,1800
GET,extract_links_nextjs_docs,437,0,3,52.33728939126426,1.6103880006994586,2018.2698680000613,30369.022883295194,4.869807217192781,0.0,3,5,5,6,7,19,1700,1900,2000,2000,2000
GET,extract_links_taylor_swift,434,0,6,80.04982735485083,3.066039998884662,4214.5127240000875,200006.0207373272,4.836376046365371,0.0,6,7,8,9,11,14,2000,3600,4200,4200,4200
GET,extract_links_unifor_cc,436,0,4,129.33335092887094,1.8026919988187728,6345.820562000881,61918.03211009174,4.858663493583644,0.0,4,5,6,6,8,52,4200,4600,6300,6300,6300
GET,extract_links_unifor_medicina,438,0,5,192.78164168262262,2.2869720014568884,6668.236039000476,108569.0388127854,4.880950940801918,0.0,5,6,7,8,9,65,5600,6100,6700,6700,6700
GET,extract_links_uol,440,0,4,43.13606841817339,1.7228720007551601,1878.4347939999861,42010.02954545455,4.903238388020191,0.0,4,5,6,7,9,28,1100,1200,1900,1900,1900
,Aggregated,4371,0,4,78.95375374100857,1.5199000008578878,6668.236039000476,80204.21002059025,48.70921589553694,0.0,4,6,6,7,9,24,1200,2900,6200,6700,6700
