language,cache_mode,users,request_count,failure_count,failure_rate,avg_response_time,median_response_time,min_response_time,max_response_time,p95_response_time,p99_response_time,requests_per_second,failures_per_second
python,cache,50,2049,0,0.0,203.79257196240405,6,1.8392750007478755,10828.856105999876,450,7800,23.07999453393145,0.0
python,cache,150,4141,0,0.0,1279.1344551296804,4,1.7986450002354104,37543.33150000093,8700,32000,46.27046803617624,0.0
python,cache,400,4953,0,0.0,5298.923414954164,4,1.7111139986809576,67484.90350300017,58000,66000,55.390282909428805,0.0
python,no_cache,50,473,0,0.0,8755.219501849915,6900,310.1357430005009,30432.01768200015,18000,20000,5.297492018818461,0.0
python,no_cache,150,447,0,0.0,25237.98265027072,26000,663.121407998915,53446.035024000594,47000,51000,5.003868833845055,0.0
python,no_cache,400,464,21,4.525862068965517,35483.62072176507,38000,1012.8173789998982,88080.81250400028,61000,67000,5.204465269801079,0.2355469195384109
ruby,cache,50,2264,0,0.0,37.04434806978696,5,1.5699340001447126,2828.573482000138,10,1500,25.235114944210885,0.0
ruby,cache,150,4352,0,0.0,84.13859529964074,4,1.474057000450557,6483.2015030006005,16,3200,48.53515372347225,0.0
ruby,cache,400,4371,0,0.0,78.95375374100857,4,1.5199000008578878,6668.236039000476,24,2900,48.70921589553694,0.0
ruby,no_cache,50,1935,0,0.0,2273.0822213390247,2000,313.398080999832,7555.928310999661,4500,4900,21.640226945476016,0.0
ruby,no_cache,150,1806,0,0.0,4775.323834818967,3800,493.9005129999714,14792.560497000522,9900,11000,20.202480098801743,0.0
ruby,no_cache,400,1818,0,0.0,4746.874899564941,3800,555.9355549994507,14688.574820000213,9800,10000,20.340761489499258,0.0
