Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET post imagem ~1MB,206,0,220,417.0753272135928,112.2842530021444,1004.8318129993277,30224.0,22.77466964369521,0.0,220,270,640,960,980,990,1000,1000,1000,1000,1000
GET,GET post imagem ~300KB,199,0,210,251.26429009034482,141.01953099816456,662.4004629993578,30593.0,22.000773102404597,0.0,210,260,320,330,350,390,610,650,660,660,660
GET,GET post texto ~400KB,202,0,220,278.4060916830352,144.77456399981747,644.9615199999243,417501.0,22.332443048672,0.0,220,260,380,390,420,540,580,620,640,640,640
,Aggregated,607,0,220,316.56860239530783,112.2842530021444,1004.8318129993277,159224.63426688634,67.1078857947718,0.0,220,260,350,390,610,980,980,990,1000,1000,1000
