Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,01 arquivo carga leve imagem ~300KB,9865,0,25,203.56245932093194,3.5870820000809545,4285.411358000033,307200.0,338.17696234755607,0.0,25,31,36,41,700,1300,2700,3400,4300,4300,4300
,Aggregated,9865,0,25,203.56245932093194,3.5870820000809545,4285.411358000033,307200.0,338.17696234755607,0.0,25,31,36,41,700,1300,2700,3400,4300,4300,4300
