Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET post imagem ~300KB,1846,794,2500,2023.5149489739943,0.9063279976544436,4992.210379998141,17473.48429035753,200.74711620085245,86.34518432474368,2500,3000,3100,3200,4500,4800,4900,4900,5000,5000,5000
,Aggregated,1846,794,2500,2023.5149489739943,0.9063279976544436,4992.210379998141,17473.48429035753,200.74711620085245,86.34518432474368,2500,3000,3100,3200,4500,4800,4900,4900,5000,5000,5000
