Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,01 arquivo carga alta imagem ~2MB,2240,0,2600,2709.293840817861,1849.752671999795,4179.680012999825,2097152.0,73.93563711761816,0.0,2600,2800,3000,3200,3500,3800,4000,4000,4100,4200,4200
GET,01 arquivo carga leve imagem ~300KB,2615,0,600,817.9089378566003,10.104101000024457,2959.9619229998098,307200.0,86.31325493864799,0.0,600,980,1100,1400,1900,2200,2300,2300,2900,3000,3000
GET,01 página carga média texto ~500KB,2475,0,2400,2241.9030771163625,179.20171499986282,4411.02467099995,536877.0,81.69227761879685,0.0,2400,2700,2900,3000,3300,3600,3800,4000,4400,4400,4400
,Aggregated,7330,0,2100,1876.7203535866397,10.104101000024457,4411.02467099995,931748.8478854025,241.94116967506298,0.0,2100,2500,2700,2800,3200,3500,3800,4000,4200,4400,4400
