Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,01 arquivo carga alta imagem ~2MB,4591,0,1900,2183.8274300074045,1837.2980330000246,9169.313772000009,2097152.0,155.54774567582663,0.0,1900,1900,1900,2000,3000,4100,5200,5600,7100,9200,9200
,Aggregated,4591,0,1900,2183.8274300074045,1837.2980330000246,9169.313772000009,2097152.0,155.54774567582663,0.0,1900,1900,1900,2000,3000,4100,5200,5600,7100,9200,9200
