Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,01 arquivo carga alta imagem ~2MB,1654,0,2000,2140.2274744099186,1842.4124099999517,3736.8526099999144,2097152.0,56.47004836956788,0.0,2000,2100,2200,2300,2700,3400,3600,3600,3700,3700,3700
GET,01 arquivo carga leve imagem ~300KB,1802,0,79,358.0508654389565,7.962376000023141,2829.827769000076,307200.0,61.52299102899717,0.0,80,170,290,460,1400,2100,2600,2700,2800,2800,2800
GET,01 página carga média texto ~500KB,1758,0,550,866.7827383168363,135.91122100001485,3046.578051000097,536877.0,60.02076483295062,0.0,550,930,1100,1300,2400,2800,2900,3000,3000,3000,3000
,Aggregated,5214,0,800,1094.9267273026453,7.962376000023141,3736.8526099999144,952453.6965861144,178.01380423151565,0.0,800,1900,1900,2000,2300,2700,3300,3500,3700,3700,3700
