Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET post imagem ~1MB,481,0,930,1316.0184637422844,282.16552500089165,3128.065423003136,30224.0,52.80195946111469,0.0,930,1100,2600,2600,2700,2800,2900,3000,3100,3100,3100
GET,GET post imagem ~300KB,300,0,2700,2610.399843593418,795.3088249996654,3079.5869339999626,30593.0,32.93261504851228,0.0,2700,2800,2800,2800,2900,2900,3000,3000,3100,3100,3100
GET,GET post texto ~400KB,354,0,2500,1931.8347342402692,597.5997370005643,3055.764866003301,417501.0,38.86048575724449,0.0,2500,2600,2700,2700,2700,2800,2900,3000,3100,3100,3100
,Aggregated,1135,0,2500,1850.2152687745559,282.16552500089165,3128.065423003136,151111.0114537445,124.59506026687147,0.0,2500,2600,2700,2700,2800,2900,2900,3000,3100,3100,3100
