Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET post imagem ~1MB,475,0,1000,1114.5756611452723,198.70435899792938,3286.877495000226,30224.0,51.833329166292785,0.0,1000,1100,1300,1300,2800,2900,3000,3000,3300,3300,3300
GET,GET post imagem ~300KB,300,0,2800,2765.652710273231,548.7623429980886,3176.34975799956,30593.0,32.73683947344807,0.0,2800,2900,2900,3000,3000,3100,3100,3100,3200,3200,3200
GET,GET post texto ~400KB,347,0,2600,2226.1879125936193,551.4126749985735,3210.7771360024344,417501.0,37.865610990954934,0.0,2600,2700,2700,2700,2800,2900,3000,3100,3200,3200,3200
,Aggregated,1122,0,2500,1899.8275024919387,198.70435899792938,3286.877495000226,150095.4964349376,122.43577963069579,0.0,2500,2700,2800,2800,2900,3000,3100,3100,3200,3300,3300
